record_id,student_id,student_name,gender,age,class,location,subject,attendance_percent,study_hours_per_week,assignment_marks,test_marks,exam_marks,final_score,final_grade,academic_term,academic_year,term_number,period
1,1,Thomas Brown,Male,13,Form 1,Kisumu,History,80.6,4.0,89.0,88.5,100.0,94.4,A,Term 1,2023,1,2023-Term 1
2,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,89.7,2.3,80.1,79.1,84.3,81.9,A,Term 1,2023,1,2023-Term 1
3,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,62.9,0.4,59.3,66.5,57.1,60.4,C,Term 1,2023,1,2023-Term 1
4,1,Thomas Brown,Male,13,Form 1,Kisumu,English,67.9,5.2,79.9,69.6,75.2,74.5,B,Term 1,2023,1,2023-Term 1
5,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,83.1,1.3,74.2,75.1,72.4,73.6,B,Term 1,2023,1,2023-Term 1
6,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,100.0,3.0,81.2,68.5,78.7,76.2,B,Term 2,2023,2,2023-Term 2
7,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,62.4,1.0,74.0,71.5,69.3,70.9,B,Term 2,2023,2,2023-Term 2
8,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,79.0,0.8,66.0,75.7,71.1,71.5,B,Term 2,2023,2,2023-Term 2
9,1,Thomas Brown,Male,13,Form 1,Kisumu,History,64.4,3.5,70.1,77.7,81.7,78.2,B,Term 2,2023,2,2023-Term 2
10,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,91.3,1.7,77.9,83.1,72.5,76.7,B,Term 2,2023,2,2023-Term 2
11,1,Thomas Brown,Male,13,Form 1,Kisumu,English,80.1,1.3,71.2,76.7,66.6,70.5,B,Term 2,2023,2,2023-Term 2
12,1,Thomas Brown,Male,13,Form 1,Kisumu,History,92.0,3.5,80.8,89.7,78.7,82.4,A,Term 3,2023,3,2023-Term 3
13,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,97.6,0.0,80.7,78.2,81.0,80.1,A,Term 3,2023,3,2023-Term 3
14,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,62.1,2.7,82.7,71.7,68.8,72.5,B,Term 3,2023,3,2023-Term 3
15,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,77.0,4.4,80.5,86.7,83.9,84.0,A,Term 1,2024,1,2024-Term 1
16,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,91.7,1.9,74.8,66.5,79.2,74.5,B,Term 1,2024,1,2024-Term 1
17,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,84.6,3.0,71.1,75.3,75.5,74.6,B,Term 1,2024,1,2024-Term 1
18,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,74.0,2.8,88.2,80.0,80.8,82.1,A,Term 1,2024,1,2024-Term 1
19,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,81.3,0.1,71.7,88.7,69.9,75.9,B,Term 2,2024,2,2024-Term 2
20,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,85.0,2.9,78.3,77.8,78.9,78.5,B,Term 2,2024,2,2024-Term 2
21,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,72.9,5.1,76.5,88.9,65.6,74.8,B,Term 2,2024,2,2024-Term 2
22,1,Thomas Brown,Male,13,Form 1,Kisumu,History,76.3,3.1,67.1,75.4,66.4,69.2,C,Term 2,2024,2,2024-Term 2
23,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,86.7,1.6,82.1,83.7,92.5,87.8,A,Term 2,2024,2,2024-Term 2
24,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,69.7,3.3,76.5,85.9,86.7,84.4,A,Term 3,2024,3,2024-Term 3
25,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,89.8,1.1,71.0,70.4,70.4,70.5,B,Term 3,2024,3,2024-Term 3
26,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,85.5,2.0,80.1,73.7,93.6,84.9,A,Term 3,2024,3,2024-Term 3
27,1,Thomas Brown,Male,13,Form 1,Kisumu,English,86.7,1.2,74.7,85.1,88.9,84.9,A,Term 1,2025,1,2025-Term 1
28,1,Thomas Brown,Male,13,Form 1,Kisumu,History,73.8,4.4,87.1,96.3,81.0,86.8,A,Term 1,2025,1,2025-Term 1
29,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,74.5,1.7,68.5,71.2,71.1,70.6,B,Term 1,2025,1,2025-Term 1
30,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,90.3,3.0,88.5,100.0,94.8,95.1,A,Term 2,2025,2,2025-Term 2
31,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,73.4,1.4,74.6,80.7,79.5,78.9,B,Term 2,2025,2,2025-Term 2
32,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,81.3,1.7,64.3,72.5,68.2,68.7,C,Term 2,2025,2,2025-Term 2
33,1,Thomas Brown,Male,13,Form 1,Kisumu,History,69.5,3.3,74.4,79.9,79.3,78.5,B,Term 2,2025,2,2025-Term 2
34,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,70.6,3.5,86.2,88.2,69.8,78.6,B,Term 2,2025,2,2025-Term 2
35,1,Thomas Brown,Male,13,Form 1,Kisumu,English,72.6,3.8,84.2,100.0,86.2,89.9,A,Term 2,2025,2,2025-Term 2
36,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,93.4,4.4,87.7,94.6,83.1,87.5,A,Term 3,2025,3,2025-Term 3
37,1,Thomas Brown,Male,13,Form 1,Kisumu,History,79.6,2.3,88.6,64.0,82.5,78.2,B,Term 3,2025,3,2025-Term 3
38,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,65.9,2.3,80.0,72.1,74.0,74.6,B,Term 3,2025,3,2025-Term 3
39,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,74.7,3.3,77.2,95.4,85.5,86.8,A,Term 1,2023,1,2023-Term 1
40,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,61.7,3.3,77.1,67.3,71.9,71.5,B,Term 1,2023,1,2023-Term 1
41,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,87.0,4.3,76.8,75.1,73.2,74.5,B,Term 1,2023,1,2023-Term 1
42,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,99.7,3.6,84.1,94.4,87.8,89.0,A,Term 2,2023,2,2023-Term 2
43,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,66.8,2.3,79.6,86.2,89.3,86.5,A,Term 2,2023,2,2023-Term 2
44,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,72.7,2.9,54.0,57.4,49.2,52.6,D,Term 2,2023,2,2023-Term 2
45,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,98.3,0.9,77.9,87.3,65.7,74.6,B,Term 2,2023,2,2023-Term 2
46,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,93.6,3.0,80.5,79.6,73.4,76.7,B,Term 2,2023,2,2023-Term 2
47,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,82.7,2.4,83.9,91.7,70.7,79.6,B,Term 2,2023,2,2023-Term 2
48,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,100.0,0.1,80.4,79.4,72.4,76.1,B,Term 3,2023,3,2023-Term 3
49,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,79.9,2.3,79.5,77.7,69.7,74.1,B,Term 3,2023,3,2023-Term 3
50,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,91.0,3.5,92.6,83.6,85.0,86.1,A,Term 3,2023,3,2023-Term 3
51,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,89.5,3.9,85.8,94.1,80.5,85.6,A,Term 1,2024,1,2024-Term 1
52,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,87.5,2.7,86.0,86.2,87.0,86.5,A,Term 1,2024,1,2024-Term 1
53,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,95.1,3.0,87.0,90.9,87.5,88.4,A,Term 1,2024,1,2024-Term 1
54,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,83.0,3.9,89.2,71.7,69.0,73.8,B,Term 2,2024,2,2024-Term 2
55,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,93.6,4.2,93.9,90.7,83.6,87.8,A,Term 2,2024,2,2024-Term 2
56,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,82.8,2.0,83.9,78.9,82.1,81.5,A,Term 2,2024,2,2024-Term 2
57,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,86.1,2.2,76.4,76.9,71.1,73.9,B,Term 3,2024,3,2024-Term 3
58,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,77.3,3.3,65.1,67.1,70.5,68.4,C,Term 3,2024,3,2024-Term 3
59,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,85.1,5.2,91.8,92.5,84.6,88.4,A,Term 3,2024,3,2024-Term 3
60,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,81.8,2.6,77.8,85.6,94.2,88.4,A,Term 3,2024,3,2024-Term 3
61,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,80.9,3.6,84.5,88.1,86.6,86.7,A,Term 1,2025,1,2025-Term 1
62,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,83.0,1.8,81.1,88.8,86.3,86.0,A,Term 1,2025,1,2025-Term 1
63,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,100.0,1.8,88.9,100.0,81.5,88.6,A,Term 1,2025,1,2025-Term 1
64,2,Leslie Rogers,Male,14,Form 3,Mombasa,Biology,73.6,2.1,61.4,58.8,65.3,62.5,C,Term 1,2025,1,2025-Term 1
65,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,85.4,5.8,91.9,88.5,98.7,94.3,A,Term 2,2025,2,2025-Term 2
66,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,68.8,5.7,89.5,79.8,100.0,91.8,A,Term 2,2025,2,2025-Term 2
67,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,80.9,4.9,72.9,76.0,76.3,75.5,B,Term 2,2025,2,2025-Term 2
68,2,Leslie Rogers,Male,14,Form 3,Mombasa,Computer Science,77.5,3.9,75.2,76.8,80.1,78.1,B,Term 2,2025,2,2025-Term 2
69,2,Leslie Rogers,Male,14,Form 3,Mombasa,History,89.1,1.3,75.9,71.8,63.5,68.5,C,Term 3,2025,3,2025-Term 3
70,2,Leslie Rogers,Male,14,Form 3,Mombasa,Physics,97.5,3.2,92.9,100.0,100.0,98.6,A,Term 3,2025,3,2025-Term 3
71,2,Leslie Rogers,Male,14,Form 3,Mombasa,English,79.5,4.5,94.9,81.3,93.5,90.1,A,Term 3,2025,3,2025-Term 3
72,2,Leslie Rogers,Male,14,Form 3,Mombasa,Mathematics,92.6,0.4,59.9,68.2,75.8,70.4,B,Term 3,2025,3,2025-Term 3
73,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,82.7,5.4,80.5,88.7,92.1,88.8,A,Term 1,2023,1,2023-Term 1
74,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,81.7,0.0,76.4,87.6,85.8,84.5,A,Term 1,2023,1,2023-Term 1
75,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,72.6,2.2,80.1,87.1,72.5,78.4,B,Term 1,2023,1,2023-Term 1
76,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,87.0,2.2,85.0,78.3,81.1,81.0,A,Term 1,2023,1,2023-Term 1
77,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,70.0,5.9,92.1,97.1,94.7,94.9,A,Term 2,2023,2,2023-Term 2
78,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,79.8,3.9,94.7,93.3,95.1,94.5,A,Term 2,2023,2,2023-Term 2
79,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,59.0,0.7,96.0,86.0,92.4,91.2,A,Term 2,2023,2,2023-Term 2
80,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,85.1,7.6,99.4,93.3,87.1,91.4,A,Term 2,2023,2,2023-Term 2
81,3,Wanda Esparza,Male,18,Form 1,Eldoret,Biology,84.0,1.9,76.9,72.6,93.7,84.0,A,Term 2,2023,2,2023-Term 2
82,3,Wanda Esparza,Male,18,Form 1,Eldoret,History,90.8,3.0,100.0,94.0,100.0,98.2,A,Term 3,2023,3,2023-Term 3
83,3,Wanda Esparza,Male,18,Form 1,Eldoret,Mathematics,87.4,1.4,83.0,77.7,94.8,87.3,A,Term 3,2023,3,2023-Term 3
84,3,Wanda Esparza,Male,18,Form 1,Eldoret,Computer Science,100.0,0.9,90.4,90.3,88.9,89.6,A,Term 3,2023,3,2023-Term 3
85,3,Wanda Esparza,Male,18,Form 1,Eldoret,English,73.4,3.1,85.4,83.7,82.2,83.3,A,Term 3,2023,3,2023-Term 3
86,3,Wanda Esparza,Male,18,Form 1,Eldoret,Physics,72.9,2.1,93.6,84.3,91.9,90.0,A,Term 3,2023,3,2023-Term 3
