feedback_id,teacher_name,subject,academic_term,academic_year,clarity_of_teaching,communication,subject_knowledge,explains_concepts_well,classroom_engagement,availability,use_of_materials,responsiveness,fairness_in_assessment,overall_effectiveness
1,Victoria White,Biology,Term 1,2023,3,2,5,4,2,4,3,4,3,4
2,Victoria White,Biology,Term 1,2023,4,4,3,3,3,4,4,4,4,4
3,Victoria White,Biology,Term 1,2023,5,2,3,4,5,3,2,3,3,4
4,Victoria White,Biology,Term 1,2023,4,3,5,4,3,3,3,4,3,3
5,Victoria White,Biology,Term 1,2023,3,3,4,5,3,4,3,5,3,3
6,Victoria White,Biology,Term 1,2023,2,2,3,3,4,4,4,4,4,4
7,Victoria White,Biology,Term 1,2023,3,3,3,3,4,4,3,4,5,4
8,Victoria White,Biology,Term 1,2023,4,5,3,4,3,3,3,4,5,3
9,Victoria White,Biology,Term 1,2023,4,4,4,4,4,4,3,4,3,4
10,Victoria White,Biology,Term 1,2023,3,3,2,4,2,2,2,4,3,3
11,Victoria White,Biology,Term 1,2023,3,4,2,4,3,4,4,2,4,4
12,Victoria White,Biology,Term 1,2023,4,2,4,4,3,4,5,3,3,3
13,Victoria White,Biology,Term 1,2023,4,4,3,4,3,4,4,3,4,5
14,Victoria White,Biology,Term 1,2023,4,2,3,3,5,4,3,2,5,4
15,Victoria White,Biology,Term 1,2023,3,2,4,4,4,2,2,5,3,4
16,Victoria White,Biology,Term 1,2023,3,4,4,4,4,3,3,3,2,2
17,Victoria White,Biology,Term 1,2023,4,3,4,4,4,4,3,4,3,4
18,Victoria White,Biology,Term 1,2023,5,2,4,4,3,4,3,5,4,3
19,Victoria White,Biology,Term 1,2023,2,3,5,5,3,4,3,3,3,5
20,Victoria White,Biology,Term 1,2023,3,4,4,5,4,3,3,4,5,5
21,Victoria White,Biology,Term 1,2023,3,4,3,4,2,4,3,3,5,3
22,Victoria White,Biology,Term 1,2023,3,4,3,3,3,4,4,2,4,4
23,Victoria White,Biology,Term 1,2023,2,3,4,3,3,4,4,2,3,3
24,Victoria White,Biology,Term 1,2023,2,4,4,2,3,4,4,4,3,4
25,Victoria White,Biology,Term 1,2023,4,3,3,4,3,2,4,4,5,4
26,Victoria White,Biology,Term 1,2023,4,3,4,4,3,4,4,4,5,3
27,Victoria White,Biology,Term 1,2023,5,3,2,3,3,3,4,5,4,4
28,Victoria White,Biology,Term 1,2023,4,3,3,3,4,5,3,4,4,3
29,Victoria White,Biology,Term 1,2023,4,4,5,4,2,3,3,2,3,4
30,Victoria White,Biology,Term 1,2023,2,4,3,4,4,4,2,4,3,3
31,Victoria White,Biology,Term 1,2023,4,4,3,3,1,3,3,3,3,4
32,Victoria White,Biology,Term 1,2023,4,4,3,3,1,4,5,2,4,4
33,Victoria White,Biology,Term 2,2023,3,5,3,3,3,4,3,3,2,4
34,Victoria White,Biology,Term 2,2023,5,3,4,3,5,4,3,4,3,3
35,Victoria White,Biology,Term 2,2023,4,2,3,4,5,3,2,5,3,3
36,Victoria White,Biology,Term 2,2023,3,3,3,4,4,3,2,3,3,4
37,Victoria White,Biology,Term 2,2023,4,5,3,3,4,2,4,3,5,3
38,Victoria White,Biology,Term 2,2023,5,4,4,4,2,5,4,4,2,2
39,Victoria White,Biology,Term 2,2023,3,4,4,4,5,4,4,4,4,4
40,Victoria White,Biology,Term 2,2023,4,4,5,3,2,3,4,4,3,4
41,Victoria White,Biology,Term 2,2023,4,4,5,5,4,4,5,3,3,3
42,Victoria White,Biology,Term 2,2023,3,3,4,4,5,3,4,4,4,5
43,Victoria White,Biology,Term 2,2023,4,3,3,2,2,3,4,4,3,2
44,Victoria White,Biology,Term 2,2023,5,3,4,3,2,3,4,2,3,3
45,Victoria White,Biology,Term 2,2023,3,3,3,3,2,4,4,3,3,3
46,Victoria White,Biology,Term 2,2023,4,5,2,4,4,3,3,3,3,3
47,Victoria White,Biology,Term 2,2023,3,4,4,4,2,3,3,4,4,4
48,Victoria White,Biology,Term 2,2023,5,4,4,3,2,3,2,3,3,5
49,Victoria White,Biology,Term 3,2023,4,4,3,3,2,4,3,3,3,4
50,Victoria White,Biology,Term 3,2023,4,5,3,3,4,4,4,4,4,3
51,Victoria White,Biology,Term 3,2023,4,4,1,3,3,2,2,4,4,3
52,Victoria White,Biology,Term 3,2023,3,4,4,4,4,3,4,3,4,3
53,Victoria White,Biology,Term 3,2023,5,5,4,5,4,3,3,5,3,4
54,Victoria White,Biology,Term 3,2023,4,4,3,4,2,3,4,3,4,3
55,Victoria White,Biology,Term 3,2023,3,5,4,4,3,5,2,4,3,3
56,Victoria White,Biology,Term 3,2023,3,3,4,3,5,3,3,3,4,3
