record_id,student_id,student_name,gender,age,class,location,subject,attendance_pct,study_hours_per_week,assignment_marks,test_marks,exam_marks,final_score,final_grade,academic_term,academic_year
1,1,Thomas Brown,Male,13,Form 1,Kisumu,History,80.6,4.0,89.0,88.5,100.0,94.4,A,Term 1,2023
2,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,89.7,2.3,80.1,79.1,84.3,81.9,A,Term 1,2023
3,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,62.9,0.4,59.3,66.5,57.1,60.4,C,Term 1,2023
4,1,Thomas Brown,Male,13,Form 1,Kisumu,English,67.9,5.2,79.9,69.6,75.2,74.5,B,Term 1,2023
5,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,83.1,1.3,74.2,75.1,72.4,73.6,B,Term 1,2023
6,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,100.0,3.0,81.2,68.5,78.7,76.2,B,Term 2,2023
7,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,62.4,1.0,74.0,71.5,69.3,70.9,B,Term 2,2023
8,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,79.0,0.8,66.0,75.7,71.1,71.5,B,Term 2,2023
9,1,Thomas Brown,Male,13,Form 1,Kisumu,History,64.4,3.5,70.1,77.7,81.7,78.2,B,Term 2,2023
10,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,91.3,1.7,77.9,83.1,72.5,76.7,B,Term 2,2023
11,1,Thomas Brown,Male,13,Form 1,Kisumu,English,80.1,1.3,71.2,76.7,66.6,70.5,B,Term 2,2023
12,1,Thomas Brown,Male,13,Form 1,Kisumu,History,92.0,3.5,80.8,89.7,78.7,82.4,A,Term 3,2023
13,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,97.6,0.0,80.7,78.2,81.0,80.1,A,Term 3,2023
14,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,62.1,2.7,82.7,71.7,68.8,72.5,B,Term 3,2023
15,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,77.0,4.4,80.5,86.7,83.9,84.0,A,Term 1,2024
16,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,91.7,1.9,74.8,66.5,79.2,74.5,B,Term 1,2024
17,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,84.6,3.0,71.1,75.3,75.5,74.6,B,Term 1,2024
18,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,74.0,2.8,88.2,80.0,80.8,82.1,A,Term 1,2024
19,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,81.3,0.1,71.7,88.7,69.9,75.9,B,Term 2,2024
20,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,85.0,2.9,78.3,77.8,78.9,78.5,B,Term 2,2024
21,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,72.9,5.1,76.5,88.9,65.6,74.8,B,Term 2,2024
22,1,Thomas Brown,Male,13,Form 1,Kisumu,History,76.3,3.1,67.1,75.4,66.4,69.2,C,Term 2,2024
23,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,86.7,1.6,82.1,83.7,92.5,87.8,A,Term 2,2024
24,1,Thomas Brown,Male,13,Form 1,Kisumu,Physics,69.7,3.3,76.5,85.9,86.7,84.4,A,Term 3,2024
25,1,Thomas Brown,Male,13,Form 1,Kisumu,Biology,89.8,1.1,71.0,70.4,70.4,70.5,B,Term 3,2024
26,1,Thomas Brown,Male,13,Form 1,Kisumu,Mathematics,85.5,2.0,80.1,73.7,93.6,84.9,A,Term 3,2024
27,1,Thomas Brown,Male,13,Form 1,Kisumu,English,86.7,1.2,74.7,85.1,88.9,84.9,A,Term 1,2025
28,1,Thomas Brown,Male,13,Form 1,Kisumu,History,73.8,4.4,87.1,96.3,81.0,86.8,A,Term 1,2025
29,1,Thomas Brown,Male,13,Form 1,Kisumu,Computer Science,74.5,1.7,68.5,71.2,71.1,70.6,B,Term 1,2025
